Transporte urbano,Urbano por metro,Transporte urbano regular por autobús,Transporte interurbano regular,Interurbano por autobús regular,Interurbano por ferrocarril,AVE,Fecha
220994,64421,156573, , , , ,1996M11
239493,69710,169783, , , , ,1996M10
187160,53843,133317, , , , ,1996M09
122716,29964,92752, , , , ,1996M08
184124,51649,132475, , , , ,1996M07
201742,57550,144192, , , , ,1996M06
220739,62478,158261, , , , ,1996M05
204038,59118,144920, , , , ,1996M04
221582,63590,157992, , , , ,1996M03
213787,62273,151514, , , , ,1996M02
216721,62703,154018, , , , ,1996M01
