,Festivos,AÑO,SEMANA,MES,Municipio
24,2019-10-12,2019,41,10,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
25,2019-11-01,2019,44,11,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
26,2019-12-06,2019,49,12,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
27,2019-12-25,2019,52,12,"['Tomelloso', 'Alovera', 'Toledo', 'La Roda', 'Guadalajara', 'Seseña', 'Tarancón', 'Azuqueca de Henares', 'Talavera de la Reina', 'Almansa', 'El Casar', 'Hellín', 'Cuenca', 'Torrijos', 'Albacete', 'Puertollano', 'Ciudad Real', 'Cabanillas del Campo', 'Villarrobledo', 'Alcázar de San Juan', 'Quintanar del Rey', 'Illescas', 'Valdepeñas']"
0,2017-06-25,2017,25,6,Albacete
1,2017-09-08,2017,36,9,Albacete
2,2018-06-25,2018,26,6,Albacete
3,2018-09-08,2018,36,9,Albacete
4,2019-06-25,2019,26,6,Albacete
5,2019-09-08,2019,36,9,Albacete
6,2017-05-03,2017,18,5,Hellín
7,2017-10-24,2017,43,10,Hellín
8,2018-05-03,2018,18,5,Hellín
9,2018-10-24,2018,43,10,Hellín
10,2019-05-03,2019,18,5,Hellín
11,2019-10-24,2019,43,10,Hellín
12,2017-02-16,2017,7,2,Villarrobledo
13,2017-08-17,2017,33,8,Villarrobledo
14,2018-02-16,2018,7,2,Villarrobledo
15,2018-08-17,2018,33,8,Villarrobledo
16,2019-02-16,2019,7,2,Villarrobledo
17,2019-08-17,2019,33,8,Villarrobledo
18,2017-05-04,2017,18,5,Almansa
19,2017-09-03,2017,35,9,Almansa
20,2018-05-04,2018,18,5,Almansa
21,2018-09-03,2018,36,9,Almansa
22,2019-05-04,2019,18,5,Almansa
23,2019-09-03,2019,36,9,Almansa
24,2017-02-14,2017,7,2,La Roda
25,2017-08-06,2017,31,8,La Roda
26,2018-02-14,2018,7,2,La Roda
27,2018-08-06,2018,32,8,La Roda
28,2019-02-14,2019,7,2,La Roda
29,2019-08-06,2019,32,8,La Roda
30,2017-05-21,2017,20,5,Ciudad Real
31,2017-08-22,2017,34,8,Ciudad Real
32,2018-05-21,2018,21,5,Ciudad Real
33,2018-08-22,2018,34,8,Ciudad Real
34,2019-05-21,2019,21,5,Ciudad Real
35,2019-08-22,2019,34,8,Ciudad Real
36,2017-05-04,2017,18,5,Puertollano
37,2017-09-08,2017,36,9,Puertollano
38,2018-05-04,2018,18,5,Puertollano
39,2018-09-08,2018,36,9,Puertollano
40,2019-05-04,2019,18,5,Puertollano
41,2019-09-08,2019,36,9,Puertollano
42,2017-08-25,2017,34,8,Tomelloso
43,2017-08-31,2017,35,8,Tomelloso
44,2018-08-25,2018,34,8,Tomelloso
45,2018-08-31,2018,35,8,Tomelloso
46,2019-08-25,2019,34,8,Tomelloso
47,2019-08-31,2019,35,8,Tomelloso
48,2017-09-08,2017,36,9,Alcázar de San Juan
49,2017-12-28,2017,52,12,Alcázar de San Juan
50,2018-09-08,2018,36,9,Alcázar de San Juan
51,2018-12-28,2018,52,12,Alcázar de San Juan
52,2019-09-08,2019,36,9,Alcázar de San Juan
53,2019-12-28,2019,52,12,Alcázar de San Juan
54,2017-08-03,2017,31,8,Valdepeñas
55,2017-09-08,2017,36,9,Valdepeñas
56,2018-08-03,2018,31,8,Valdepeñas
57,2018-09-08,2018,36,9,Valdepeñas
58,2019-08-03,2019,31,8,Valdepeñas
59,2019-09-08,2019,36,9,Valdepeñas
60,2017-06-01,2017,22,6,Cuenca
61,2017-09-21,2017,38,9,Cuenca
62,2018-06-01,2018,22,6,Cuenca
63,2018-09-21,2018,38,9,Cuenca
64,2019-06-01,2019,22,6,Cuenca
65,2019-09-21,2019,38,9,Cuenca
66,2017-03-19,2017,11,3,Tarancón
67,2017-09-08,2017,36,9,Tarancón
68,2018-03-19,2018,12,3,Tarancón
69,2018-09-08,2018,36,9,Tarancón
